placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
WIT68A,125,2012,MOTOCICLETA,PARTICULAR,E3B6E234700,9FKKE1109C2234700,1,2040,GASOLINA,ACTIVO
RZX045,1591,2010,AUTOMOVIL,PARTICULAR,G4FC9H300845,KNAFW411AA5134280,5,0,GASOLINA,ACTIVO
HKC632,1300,1988,AUTOMOVIL,PARTICULAR,E3193966,323HB13195,4,0,GASOLINA,ACTIVO
WIK86A,124,2010,MOTOCICLETA,PARTICULAR,SDH1P52QMI-B*93501016*,9FMTCJN29AF000754,1,681,GASOLINA,ACTIVO
WIB63A,125,2008,MOTOCICLETA,PARTICULAR,5GP033106,9FK5GP11S82033106,2,1000421,GASOLINA,ACTIVO
LEJ438,1600,1979,CAMPERO,PARTICULAR,12R1913676,F2021394,5,208,GASOLINA,ACTIVO
MLJ30B,149,2008,MOTOCICLETA,PARTICULAR,KC09E5007942,KC09E5007942,1,613,GASOLINA,ACTIVO
BWA817,1400,2006,AUTOMOVIL,PARTICULAR,A712Q023117,9FBBB0L126M013365,5,0,GASOLINA,ACTIVO
CSB022,1795,1998,AUTOMOVIL,PARTICULAR,G4GFV351441,KMHJG21FPWU07585,5,,GASOLINA,ACTIVO
WIE22A,180,2008,MOTOCICLETA,PARTICULAR,DJGBPD77792,MD2DJB4Z38VD04325,1,1036,GASOLINA,ACTIVO
TAF195,3500,1953,BUS ESCALERA,PUBLICO,FE6050598C,N/N,40,1073,GASOLINA,ACTIVO
WIH52A,487,2009,MOTOCICLETA,PARTICULAR,M504149716,9FSGM51A29C004671,1,8120354,GASOLINA,ACTIVO
SHM731,2771,2001,CAMION,PUBLICO,755902,9GDNHR55L1B470510,2,0,ACPM,ACTIVO
WIU89A,124,2012,MOTOCICLETA,PARTICULAR,KN25SR2133149,9FLU62010CCD21089,1,13436,GASOLINA,ACTIVO
WIW55A,249,2012,MOTOCICLETA,PARTICULAR,MC42E0015240,ME4MC4248C8000242,1,1508,GASOLINA,ACTIVO
BFC10A,125,2006,MOTOCICLETA,PARTICULAR,5GP027027,9FK5GP11661027027,2,2249,GASOLINA,ACTIVO
VVM76,150,1994,MOTOCICLETA,PARTICULAR,VLX1M818794,VLX1T3032012CL,1,74292,GASOLINA,ACTIVO
YMU29A,124,2004,MOTOCICLETA,PARTICULAR,JC30E84611067,JC30E84611067,1,20583,GASOLINA,ACTIVO
SMI406,2953,2011,CAMIONETA,PUBLICO,ZD30253793K,JN1MG4E25Z0793741,8,,ACPM,ACTIVO
BRI704,1400,2005,AUTOMOVIL,PARTICULAR,A712Q005753,9FBBB0L125M009319,5,0,GASOLINA,ACTIVO
WII13A,101,2009,MOTOCICLETA,PARTICULAR,5AV902950,9FK2P611T92902950,1,10442210,GASOLINA,ACTIVO
WHA81D,99.27,2017,MOTOCICLETA,PARTICULAR,DUZWGE09350,9FLA18AZ0HDB85234,1,24026,GASOLINA,ACTIVO
WGX88D,178.6,2017,MOTOCICLETA,PARTICULAR,DJZCGC28186,9FLA12DZ0HAJ90554,1,22926,GASOLINA,ACTIVO
MSU268,1000,2015,AUTOMOVIL,PARTICULAR,B10S1142230121,9GAMM6108FB032144,5,7915,GASOLINA,ACTIVO
ABO093,2500,2008,CAMPERO,PARTICULAR,H25A-169265,8LDCSV37280010237,5,2503,GASOLINA,ACTIVO
WIK78A,124,2010,MOTOCICLETA,PARTICULAR,E3F4E002547,9FKKE1396A2002547,1,,GASOLINA,ACTIVO
TDA93C,124,2012,MOTOCICLETA,PARTICULAR,JZMBUG14718,9FLJZC1Z3CCC07544,1,8249,GASOLINA,ACTIVO
RKA87,110,2005,MOTOCICLETA,PARTICULAR,4ST788961,9FK5GE11751788961,2,5061,GASOLINA,ACTIVO
EWM201,1300,1998,AUTOMOVIL,PARTICULAR,B3542180,323HBI00634,4,1655,GASOLINA,ACTIVO
TJY297,1598,2016,AUTOMOVIL,PUBLICO,A812UB99345,9FB4SREB4GM205453,5,2112,GASOLINA,ACTIVO
CJK832,2600,2004,CAMIONETA,PARTICULAR,G6314928,9FJUN84GX40101942,5,0,GASOLINA,ACTIVO
WHA99D,181,2017,MOTOCICLETA,PARTICULAR,163FMKPQ425584,9F2A81801H5005023,1,859,GASOLINA,ACTIVO
WIE87A,124,2008,MOTOCICLETA,PARTICULAR,157FMI3*P0106086*,9FSNF41B98C167269,1,1508,GASOLINA,ACTIVO
OKA146,149,1982,VOLQUETA,PUBLICO,362GM2U0140906,CM104914,2,4060,ACPM,ACTIVO
WII82A,125,2009,MOTOCICLETA,PARTICULAR,153FMI07064153,LKXXCJL927E000010,1,1398,GASOLINA,ACTIVO
IWE985,2500,1980,CAMPERO,PARTICULAR,P207085,P207095,8,1580,GASOLINA,ACTIVO
SMI248,7200,2008,VOLQUETA,PUBLICO,9SZ37686,9GDV7H4CX8B008656,2,8287,ACPM,ACTIVO
DTL85D,124.8,2015,MOTOCICLETA,PARTICULAR,E3M2E072604,9FKKE2008F2072604,1,4292,GASOLINA,ACTIVO
NCW563,995,2013,AUTOMOVIL,PARTICULAR,B10S1967931KC2,9GAMM6102DB045730,5,15426,GASOLINA,ACTIVO
WHH265,1400,1998,AUTOMOVIL,PARTICULAR,DA28644,CL563716,4,,GASOLINA,ACTIVO
HOW35B,644,2007,MOTOCICLETA,PARTICULAR,P409-130509,9FSSP46A07C103703,1,12858,GASOLINA,ACTIVO
QEC476,2600,1997,CAMIONETA,PARTICULAR,G6196752,B2600D00820,5,0,GASOLINA,ACTIVO
LLC668,1600,1979,CAMPERO,PARTICULAR,12R1892749,F2020609,5,0,GASOLINA,ACTIVO
PSD935,2400,1977,CAMIONETA,PARTICULAR,SD33130084,FJ43500069,2,131,ACPM,ACTIVO
ABO122,2000,2008,CAMPERO,PARTICULAR,J20A451801,8LDCSV35980016938,5,2816,GASOLINA,ACTIVO
RAO49D,125,2015,MOTOCICLETA,PARTICULAR,E3M2E098045,9FKKE2016F2098045,1,0,GASOLINA,ACTIVO
ABO448,1500,2012,AUTOMOVIL,PARTICULAR,ZYA71851,9FCDF5250C0108174,5,3331,GASOLINA,ACTIVO
WIN18A,124,2011,MOTOCICLETA,PARTICULAR,JAMBSM70793,MD2JBB2Z3BFA00433,1,11077,GASOLINA,ACTIVO
WIO38A,180,2011,MOTOCICLETA,PARTICULAR,DJGBTE45354,MD2DJB5Z3BVE00980,1,11471,GASOLINA,ACTIVO
SMI262,1310,2008,CAMIONETA,PUBLICO,EQ474I7047671,LGK132K7889110294,6,215217,GASOLINA,ACTIVO
WIJ20A,152,2010,MOTOCICLETA,PARTICULAR,45D1001477,9FKKG0345A2001477,1,263,GASOLINA,ACTIVO
TAE109,4500,1954,CAMION,PUBLICO,FE6-054789C,RD372H525737TMED,3,2737,ACPM,ACTIVO
SMI172,7200,2008,VOLQUETA,PUBLICO,9SZ34835,N/N,2,2626,ACPM,ACTIVO
HYR08A,125,2005,MOTOCICLETA,PARTICULAR,5GP019164,9FK5GP11641019164,1,5811,GASOLINA,ACTIVO
WIB25A,5000,2007,MAQ INDUSTRIAL,PARTICULAR,SB32040064U0212507,N/N,1,1781,ACPM,ACTIVO
ABO398,1206,2012,AUTOMOVIL,PARTICULAR,B12D1*564615KC3*,9GAMF48D3CB029087,5,,GASOLINA,ACTIVO
SBK060,4000,1994,VOLQUETA,PUBLICO,2BK48781,CM94204920,2,345665,ACPM,TRASLADO
MSU403,1206,2016,AUTOMOVIL,PARTICULAR,B12D1*390733KD3*,9GAMF48D9GB042979,5,8987,GASOLINA,ACTIVO
AWS34A,125,2005,MOTOCICLETA,PARTICULAR,5GP018823,9FK5GP11341018823,1,5555,GASOLINA,ACTIVO
KJU88A,125,2006,MOTOCICLETA,PARTICULAR,E371E-000154,9FK3B211W61000154,1,46884,GASOLINA,ACTIVO
WGS39D,144.8,2016,MOTOCICLETA,PARTICULAR,JEZWEJ80562,9FLA64CZ0GAK12548,1,20942,GASOLINA,ACTIVO
WIM06A,113,2011,MOTOCICLETA,PARTICULAR,E3H4E003602,9FKKE1374B2003602,0,583,GASOLINA,ACTIVO
XJT16A,115,1999,MOTOCICLETA,PARTICULAR,4JF-027717,4JF027717,1,1279,GASOLINA,ACTIVO
UPO819,7217,2007,BUS,PUBLICO,6HE1407367,9GCLT13207B002239,42,0,ACPM,ACTIVO
ABO493,5700,2012,CAMIONETA,PARTICULAR,-,3C6TD5FT2CG240934,5,,GASOLINA,ACTIVO
FUC748,8000,1984,CAMION,PUBLICO,FE6008058A,CM459005,2,221194,ACPM,ACTIVO
XMW41A,115,2005,MOTOCICLETA,PARTICULAR,3HB321783,9FK5JV11B41321783,1,1858,GASOLINA,ACTIVO
DLK56B,100,2004,MOTOCICLETA,PARTICULAR,1E50FMG414504,9FSBE11A54CC112694,1,1250,GASOLINA,ACTIVO
BVB140,1000,2001,AUTOMOVIL,PARTICULAR,K10A281811,9GAEHA62S1B105547,5,5228,GASOLINA,ACTIVO
WIA19A,100,2006,MOTOCICLETA,PARTICULAR,1E50FMG626026,9FSBE11A36C174811,1,982,GASOLINA,ACTIVO
LHI121,14000,1986,CAMION,PARTICULAR,FE6005860B,CM604002,2,241909,ACPM,ACTIVO
WIH44A,107,2009,MOTOCICLETA,PARTICULAR,LC152FMHVC114518,9F2AK110X9F000216,1,703,GASOLINA,ACTIVO
WHB16D,199,2018,MOTOCICLETA,PARTICULAR,0R1AH2015384,MD637AR15H2A20024,1,861,GASOLINA,ACTIVO
WGT31D,124.6,2016,MOTOCICLETA,PARTICULAR,KN25SR2232525,9FLU62015GCM37830,1,298991,GASOLINA,ACTIVO
MLL503,1300,1993,AUTOMOVIL,PARTICULAR,M867190,CL038135,4,39662,GASOLINA,ACTIVO
AAJ51B,225,2006,MOTOCICLETA,PARTICULAR,G309E003291,9FKDG04X561003291,1,,GASOLINA,ROBADO
WGU75D,124.6,2016,MOTOCICLETA,PARTICULAR,KN25SY1021874,9FLU62014GCC42191,1,21885,GASOLINA,ACTIVO
WIG90A,135,2009,MOTOCICLETA,PARTICULAR,JNGBRB30535,MD2JNB1Z39VB00976,1,1501,GASOLINA,ACTIVO
WIS53A,124,2012,MOTOCICLETA,PARTICULAR,157FMI-3*B2X03055*,9FSNF41B7CC222259,0,3209,GASOLINA,ACTIVO
TJY007,14945,2013,TRACTOCAMION,PUBLICO,79541593,3HSCNAPT2DN051816,2,15955,ACPM,ACTIVO
DJW84,100,2004,MOTOCICLETA,PARTICULAR,B116EZ10308,9FKKB006241210308,1,954,GASOLINA,ACTIVO
WIQ94A,134,2012,MOTOCICLETA,PARTICULAR,JEGBUA94141,9FLJDC1Z0CAH19594,1,12366,GASOLINA,ACTIVO
BGP845,1300,1996,AUTOMOVIL,PARTICULAR,E3365267,323HE505670,5,2191,GASOLINA,ACTIVO
BUT156,1600,1997,CAMPERO,PARTICULAR,G16A452525,TA01V97109996,4,5324,GASOLINA,ACTIVO
LDI233,1300,1978,CAMPERO,PARTICULAR,LDI233,F1030436,5,,GASOLINA,ACTIVO
WIY60A,113,2013,MOTOCICLETA,PARTICULAR,E3H4E036492,9FKKE1378D2036492,1,2757,GASOLINA,ACTIVO
WIR38A,124,2012,MOTOCICLETA,PARTICULAR,E3F4E021120,9FKKE1396C2021120,1,1732,GASOLINA,ACTIVO
OMF354,7000,1982,VOLQUETA,PARTICULAR,MO13209LH3,CM013209,2,2142,GASOLINA,TRASLADO
MQN089,1590,2009,CAMPERO,PARTICULAR,G16B709936,8LDBSV44890015847,5,,GASOLINA,ACTIVO
WIP89A,124,2011,MOTOCICLETA,PARTICULAR,E3F4E013896,9FKKE1397B2013896,1,1450,GASOLINA,ACTIVO
LMJ026,6500,1983,CAMION,PARTICULAR,FE6-016964B,CM205820,2,110366,GASOLINA,ACTIVO
SMI315,4300,2009,BUSETA,PUBLICO,E1T146087,9CNC02AK49B003619,23,10445,GASOLINA,ACTIVO
MJL067,1999,2012,CAMPERO,PARTICULAR,CJ9AC8756190-,9BFZE65F0C8756190,5,0,GASOLINA,ACTIVO
WIO75A,178,2011,MOTOCICLETA,PARTICULAR,DJGBTF52740,MD2DJB5ZXBVF00204,1,2003,GASOLINA,ACTIVO
WGX98D,149.9,2017,MOTOCICLETA,PARTICULAR,KL301703519,9FLC30003HCK02943,1,760,GASOLINA,ACTIVO
WIK50A,107,2011,MOTOCICLETA,PARTICULAR,KB201727043,LC2B80006A1804944,1,10713,GASOLINA,ACTIVO
WGQ42D,124,2016,MOTOCICLETA,PARTICULAR,E3L5E036396,9FKDE0919G2036396,1,4704,GASOLINA,ACTIVO
SMI176,7200,2008,VOLQUETA,PUBLICO,9SZ34868,N/N,2,2629,ACPM,ACTIVO
ZYJ10A,125,1995,MOTOCICLETA,PARTICULAR,3TK007927,N/N,1,1648,GASOLINA,ACTIVO
WHB93D,124,2018,MOTOCICLETA,PARTICULAR,157FMIPE200435,9F2B1125XJ5002558,0,885,GASOLINA,ACTIVO
SKN087,5400,2007,AUTOMOVIL,PUBLICO,J05CTE15140,JHDFB4JJT7XX10752,32,111038,ACPM,ACTIVO
DTF96D,9927,2014,MOTOCICLETA,PARTICULAR,DUZWDJ09864,9FLDUC4Z4EBB34121,1,16662,GASOLINA,ACTIVO
NAQ612,1600,2008,AUTOMOVIL,PARTICULAR,F16D3833365C,9GATJ51688B023899,4,0,GASOLINA,ACTIVO
WIZ30A,94,2013,MOTOCICLETA,PARTICULAR,PFZWCE44714,9FLPFC2Z1DAA08457,1,14543,GASOLINA,ACTIVO
KCJ208,4000,1982,CAMIONETA,PARTICULAR,TD27089589T,UG160652632,5,0,ACPM,ACTIVO
ITK177,2000,1989,AUTOMOVIL,PARTICULAR,FE715095,626HB203983,4,3406,GASOLINA,ACTIVO
WIR47A,150,2012,MOTOCICLETA,PARTICULAR,G423-152781,MB8NG49BFC8101376,1,3152,GASOLINA,ACTIVO
OYX95A,125,2001,MOTOCICLETA,PARTICULAR,5GP007046,5GP007046,2,6364,GASOLINA,ACTIVO
SNG586,14600,1977,TRACTOCAMION,PUBLICO,10507842,6245609,2,7,GASOLINA,ACTIVO
ABO381,1000,2011,AUTOMOVIL,PARTICULAR,B10S1681656KC2,9GAMM6106BB068098,4,24451,GASOLINA,ACTIVO
DTD46D,124.6,2014,MOTOCICLETA,PARTICULAR,KN25SY1002848,9FLU62018ECH64710,1,15581,GASOLINA,ACTIVO
NAO122,1400,2007,AUTOMOVIL,PARTICULAR,F14D3526406K,KL1TJ237X7B759677,5,2501,GASOLINA,ACTIVO
IIZ17C,100,2011,MOTOCICLETA,PARTICULAR,JBMBTE33341,MD2PAB1Z0BFE02523,1,0,GASOLINA,ACTIVO
VOF815,3800,1993,CAMION,PUBLICO,VOF815AR,N/N,5,2695,ACPM,ACTIVO
DTG06D,178.6,2014,MOTOCICLETA,PARTICULAR,DJZCDJ66013,9FLDJC5Z6EAD42076,1,16691,GASOLINA,ACTIVO
MDC848,2600,1983,CAMPERO,PARTICULAR,4G54CU3465,DL042GDY102270,6,0,GASOLINA,ACTIVO
DTI43D,107,2015,MOTOCICLETA,PARTICULAR,KB222062112,9FLE10000FCG20441,1,17264,GASOLINA,ACTIVO
CHU785,1300,1994,AUTOMOVIL,PARTICULAR,E335084,323HE19282,5,5718,GASOLINA,ACTIVO
DBH030,1495,2009,CAMPERO,PARTICULAR,2144800,JDAJ210G001081677,5,119260,GASOLINA,ACTIVO
MSU577,1399,2017,AUTOMOVIL,PARTICULAR,LCU*162924533*,9GASA58M2HB037829,5,28260,GASOLINA,ACTIVO
WIV67A,99,2012,MOTOCICLETA,PARTICULAR,DF5AC1111898,MD625MF59C1A34663,1,33,GASOLINA,ACTIVO
MSU597,1200,2018,AUTOMOVIL,PARTICULAR,Z2170536HLVX0359,9GAMF48D4JB044534,5,10294,GASOLINA,ACTIVO
WIP06A,114,2011,MOTOCICLETA,PARTICULAR,E3H4E006230,9FKKE1378B2006230,1,,GASOLINA,ACTIVO
DXZ053,3500,2009,CAMIONETA,PARTICULAR,282694,8LBETF3G690000266,5,413,GASOLINA,ACTIVO
MSU064,1360,2013,AUTOMOVIL,PARTICULAR,PSAKFT10FSW96548021,VF32MKFT0DY000784,5,230221,GASOLINA,ACTIVO
GTH27,175,1978,MOTOCICLETA,PARTICULAR,2A701014K,2A701014K,1,1572,GASOLINA,ACTIVO
YZA11A,110,2003,MOTOCICLETA,PARTICULAR,4ST526612,9FKKE048L31526612,1,3399,GASOLINA,ACTIVO
BDB904,2400,1993,CAMIONETA,PARTICULAR,3609465,RN855078445,2,1,GASOLINA,ACTIVO
WIJ28A,134,2010,MOTOCICLETA,PARTICULAR,JNGBSA20723,MD2JNB2Z7AVA01600,1,10367,GASOLINA,ACTIVO
WIG47A,107,2008,MOTOCICLETA,PARTICULAR,152FMHFJ207125,9F2AK110X8BC01638,1,653,GASOLINA,ACTIVO
WGT77D,178.6,2016,MOTOCICLETA,PARTICULAR,DJZCFG63262,9FLA12DZ8GCA79062,1,21460,GASOLINA,ACTIVO
DTI27D,153,2015,MOTOCICLETA,PARTICULAR,1SV1031129,9FKKG0629F2031129,1,2494,GASOLINA,ACTIVO
WIZ88A,125,2014,MOTOCICLETA,PARTICULAR,JEZWDK40159,9FLA37CZ6EAC12094,1,14746,GASOLINA,ACTIVO
WIW86A,160,2013,MOTOCICLETA,PARTICULAR,0E4AC2332381,MD634KE43C2A05321,1,57,GASOLINA,ACTIVO
BHA937,1300,1996,AUTOMOVIL,PARTICULAR,G13B311639,SP96623045,5,697,GASOLINA,ACTIVO
WIN69A,99,2011,MOTOCICLETA,PARTICULAR,DUMBTC41654,MD2DZB4Z8BFC00178,0,11271,GASOLINA,ACTIVO
DTJ99D,124,2015,MOTOCICLETA,PARTICULAR,157FMIME112881,9F2B11258FE211126,1,5399,GASOLINA,ACTIVO
WIK42A,107,2010,MOTOCICLETA,PARTICULAR,KB201726890,LC2B80000A1805040,1,,GASOLINA,ACTIVO
PFV234,1968,2011,CAMIONETA,PARTICULAR,CDC026722,WV1ZZZ2HZB8021259,5,336,ACPM,ACTIVO
RZH357,1598,2010,AUTOMOVIL,PARTICULAR,F16D35323271,N/N,5,71105,GASOLINA,ACTIVO
DTK31D,113.7,2015,MOTOCICLETA,PARTICULAR,E3H4E057705,9FKKE1371F2057705,1,,GASOLINA,ACTIVO
WGU59D,99,2016,MOTOCICLETA,PARTICULAR,DUZWFC45536,9FLA18AZ5GDC33535,1,21825,GASOLINA,ACTIVO
CMH701,2000,2005,AUTOMOVIL,PARTICULAR,5A30851,8XDZE16F958A30851,5,0,GASOLINA,ACTIVO
WIR68A,99.27,2012,MOTOCICLETA,PARTICULAR,DUMBUC54510,9FLDUC4ZXCAJ21230,0,12637,GASOLINA,ACTIVO
DTG39D,2015,2015,MOTOCICLETA,PARTICULAR,162FMJLQ415476,9F2B51500FAC11295,1,3354,GASOLINA,ACTIVO
WIN98A,107,2011,MOTOCICLETA,PARTICULAR,KB201732825,LC2B80007B1804114,1,,GASOLINA,ACTIVO
XYB783,6000,1982,CAMION,PUBLICO,30120182,CH054608,2,0,ACPM,INSERVIBLE
WIN38A,153,2011,MOTOCICLETA,PARTICULAR,45D1025119,9FKKG0349B2025119,1,,GASOLINA,ACTIVO
OZK39A,115,2004,MOTOCICLETA,PARTICULAR,3HB315668,9FK5JV11P31315668,2,11000229,GASOLINA,ACTIVO
EWS624,1000,2000,AUTOMOVIL,PARTICULAR,K10A259499,JSAEHA62SY5100403,4,4005842,GASOLINA,ACTIVO
UQA312,1400,1994,AUTOMOVIL,PARTICULAR,MB71755,CL127271,4,5079,GASOLINA,ACTIVO
WIL04A,99,2010,MOTOCICLETA,PARTICULAR,DUMBSL30318,MD2DUB4Z7AFL02730,1,148,GASOLINA,ACTIVO
GOB784,1300,2001,AUTOMOVIL,PARTICULAR,G13BB199420,N/N,4,0,GASOLINA,ACTIVO
BRC937,1400,2005,AUTOMOVIL,PARTICULAR,3H0010916,9GASC19J65B020132,1,215,GASOLINA,ACTIVO
OMG158,1600,1987,CAMIONETA,PARTICULAR,954930,KS790202,2,0,GASOLINA,ACTIVO
WID30A,125,2008,MOTOCICLETA,PARTICULAR,1P52QMI70021221,LF3TCJ7097G102058,1,466,GASOLINA,ACTIVO
WIR35A,134,2012,MOTOCICLETA,PARTICULAR,JEGBUC14562,9FLJDC1Z0CCJ24214,1,12541,GASOLINA,ACTIVO
LHI639,1600,1986,CAMIONETA,PARTICULAR,890165,KS621507,2,241802,GASOLINA,ACTIVO
TIG399,7636,2007,VOLQUETA,PUBLICO,470HM2U1506951,3HAMMAAR77L553634,2,8040,ACPM,ACTIVO
OKA142,3600,1981,VOLQUETA,PARTICULAR,FE6102675C,K74BVJ32453,2,6,ACPM,ACTIVO
WHB25D,124,2017,MOTOCICLETA,PARTICULAR,E3F4E121876,9FKKE1396J2121876,1,477,GASOLINA,ACTIVO
WIP47A,153,2011,MOTOCICLETA,PARTICULAR,45D1034590,9FKKG0488B2034590,1,1369,GASOLINA,ACTIVO
NMA854,1600,1976,CAMPERO,PARTICULAR,002851T,FJ4337860,5,3364,GASOLINA,ACTIVO
WIL05A,134,2010,MOTOCICLETA,PARTICULAR,JNGBSJ82193,MD2JNB1Z5AVJ00253,1,10803,GASOLINA,ACTIVO
BKB404,1400,1998,AUTOMOVIL,PARTICULAR,P700DA33429,CL562640,5,3638,GASOLINA,ACTIVO
KVJ67C,124,2011,MOTOCICLETA,PARTICULAR,E3F4E015034,9FKKE1397B2015034,1,475,GASOLINA,ACTIVO
XUF379,4600,2007,CAMION,PUBLICO,437131,9GDNPR7177B008189,2,0,ACPM,ACTIVO
CON36,183,1999,MOTOCICLETA,PARTICULAR,TS1852145039,TS185SC14735,1,2801001629,GASOLINA,ACTIVO
BVE441,1600,2002,AUTOMOVIL,PARTICULAR,A700D680738,9FBLA040E2L804449,4,12084,GASOLINA,TRASLADO
793NCC,198.88,2015,MOTOCARRO,PUBLICO,AZZWEH98582,MD2A25BZ6FWH00535,4,29106,GASOLINA,ACTIVO
DTJ44D,124.8,2015,MOTOCICLETA,PARTICULAR,E3M2E082760,9FKKE2015F2082760,1,1175,GASOLINA,ACTIVO
JRJ79B,225,2008,MOTOCICLETA,PARTICULAR,G30E-008984,9FKDG04X882008984,1,965,GASOLINA,TRASLADO
WGW17D,124.29,2016,MOTOCICLETA,PARTICULAR,JEZWFJ24210,9FLA37CZ3GDB89424,1,22455,GASOLINA,ACTIVO
DTE45D,107,2014,MOTOCICLETA,PARTICULAR,KB201747583,9FLB80003ECL13906,1,23319,GASOLINA,ACTIVO
WIA36A,660,2006,CUATRIMOTO,PARTICULAR,ME61000038,LJCPCFLJ061000020,2,120,GASOLINA,ACTIVO
MSU283,1796,2015,CAMIONETA,PARTICULAR,CFL166039,3GNCJ8CE6FL166039,5,8049,GASOLINA,ACTIVO
VGD41A,124,2005,MOTOCICLETA,PARTICULAR,JC30E53401727,JC3DE53401727,1,1330,GASOLINA,ACTIVO
DTC40D,124.6,2014,MOTOCICLETA,PARTICULAR,JZZWCE45203,9FLJZC1Z8ECF22410,1,15178,GASOLINA,ACTIVO
WIF61A,99,2009,MOTOCICLETA,PARTICULAR,DUMBRB85011,MD2DZB2Z49FB01354,1,198,GASOLINA,ACTIVO
TYS45A,125,2000,MOTOCICLETA,PARTICULAR,3TL-109496,3TL-109496,1,1,GASOLINA,ACTIVO
MSU304,2393,2016,CAMPERO,PARTICULAR,J24B-1281069,JS3TA04V5G4100048,4,1346,GASOLINA,ACTIVO
KBA159,3800,1959,CAMION,PARTICULAR,FE6050922B,N/N,2,4769755,ACPM,ACTIVO
WIZ07A,125,2014,MOTOCICLETA,PARTICULAR,JEZWCJ93108,9FLA37CZXEAB04867,1,14493,GASOLINA,ACTIVO
DTN30D,99.27,2016,MOTOCICLETA,PARTICULAR,DUZWEJ35742,9FLA18AZ7GDD89642,1,18969,GASOLINA,ACTIVO
EVZ433,1323,1997,AUTOMOVIL,PARTICULAR,B3547037,KJDAVP34532,4,0,GASOLINA,ACTIVO
JTB424,1300,1986,AUTOMOVIL,PARTICULAR,M808008,G0211457,5,3312,GASOLINA,ACTIVO
GEB04B,99,2006,MOTOCICLETA,PARTICULAR,DUMBMH04599,DUFBMH93326,1,884,GASOLINA,ACTIVO
DTI01D,124,2015,MOTOCICLETA,PARTICULAR,157FMIME058213,9F2B11259FE207263,1,4157,GASOLINA,ACTIVO
WIB13A,200,2008,MOTOCICLETA,PARTICULAR,K166FML30023116,LAEMNZ4018B930081,2,330,GASOLINA,ACTIVO
ASA207,1300,1986,AUTOMOVIL,PARTICULAR,E3846442,N/N,4,3,GASOLINA,ACTIVO
MNZ54C,199,2014,MOTOCICLETA,PARTICULAR,JLZCCH40475,9FLA36FZ6EBB02047,2,260,GASOLINA,ACTIVO
ABO329,1390,2011,AUTOMOVIL,PARTICULAR,A710UH81430,9FBLSRACDBM009390,5,193,GASOLINA,ACTIVO
EKR407,3000,2005,CAMIONETA,PARTICULAR,226443,8LBETF1E750000644,5,443197,ACPM,ACTIVO
WIH48A,199,2009,MOTOCICLETA,PARTICULAR,163FML2ML2M82000647,LF3YCM5028U000033,1,1358,GASOLINA,ACTIVO
GWF87,175,1978,MOTOCICLETA,PARTICULAR,GWF87,2A7-027507,1,0,GASOLINA,ACTIVO
LEA878,5212,1980,CAMION,PUBLICO,T997616C13,DT997616,2,3006,GAS GASOLINA,TRASLADO
FSB35,115,2002,MOTOCICLETA,PARTICULAR,3HB-282624,9FK5JV11J11282624,1,0,GASOLINA,ACTIVO
TJA334,4300,2005,MICRO BUS,PUBLICO,4111084,9CNC03AK95B001073,19,3298,GASOLINA,ACTIVO
WIR78A,134,2012,MOTOCICLETA,PARTICULAR,JEGBUE54200,9FLJDC1Z2CAK30966,1,1569,GASOLINA,ACTIVO
ABO068,1600,2008,AUTOMOVIL,PARTICULAR,ZM857227,N/N,5,204078,GASOLINA,ACTIVO
DTE12D,178.6,2014,MOTOCICLETA,PARTICULAR,DJZCDJ61149,9FLDJC5Z6EAB40192,1,1051,GASOLINA,ACTIVO
WCX33A,115,2001,MOTOCICLETA,PARTICULAR,3HB252555,3HB252555,1,4037,GASOLINA,ACTIVO
WZR24A,100,2003,MOTOCICLETA,PARTICULAR,5VA203134,9FKKB004D31203134,1,4332,GASOLINA,ACTIVO
WIK96A,101,2010,MOTOCICLETA,PARTICULAR,5AV922024,9FK2P611XA2922024,0,738,GASOLINA,ACTIVO
DTL72D,125,2016,MOTOCICLETA,PARTICULAR,157FMINQ094553,9F2B81254GA004088,1,10113,GASOLINA,ACTIVO
SMI431,15000,2012,TRACTOCAMION,PUBLICO,79456331,3WKDD40X7CF700972,2,204,ACPM,ACTIVO
EWX726,1000,2002,AUTOMOVIL,PARTICULAR,K10A302614,N/N,4,850,GASOLINA,ACTIVO
ZZD04A,110,2005,MOTOCICLETA,PARTICULAR,4ST923971,9FKKE048151923971,1,1035,GASOLINA,ACTIVO
LQG10A,175,2003,MOTOCICLETA,PARTICULAR,3TK023395,9FK3TK11M21023395,1,53002482,GASOLINA,ACTIVO
TJY094,1598,2013,AUTOMOVIL,PUBLICO,F710Q130501,9FBLSRADBDM054239,5,6812,GASOLINA,ACTIVO
WIA22A,100,2006,MOTOCICLETA,PARTICULAR,5C91-003964,9FkkE098361003964,1,868,GASOLINA,ACTIVO
EBV86A,115,1999,MOTOCICLETA,PARTICULAR,F128116921,BF14ASC015331,1,377,GASOLINA,ACTIVO
WIT81A,134,2012,MOTOCICLETA,PARTICULAR,JEGBUG07597,9FLJDC1Z7CAB42191,1,13233,GASOLINA,ACTIVO
