placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
DTD26D,99.27,2014,MOTOCICLETA,PARTICULAR,DUZWCH67968,9FLDUC4Z7EAH05400,1,15534,GASOLINA,ACTIVO
XDD22C,134,2013,MOTOCICLETA,PARTICULAR,JEGBUH25124,9FLJDC1Z9DCG56386,1,24180,GASOLINA,ACTIVO
SMI336,1051,2009,AUTOMOVIL,PUBLICO,LJ465Q-1AE6805085550,LZWACAGA091000715,7,671,GASOLINA,ACTIVO
WIW78A,150,2013,MOTOCICLETA,PARTICULAR,162FMJJA163361,9F2A21504CBC15814,1,55,GASOLINA,ACTIVO
MSU412,1598,2016,AUTOMOVIL,PARTICULAR,A812UB82214,9FB5SREB4GM169288,5,2141,GASOLINA,ACTIVO
WIJ10A,101,2010,MOTOCICLETA,PARTICULAR,5AV911145,9FK2P6110A2911145,1,282,GASOLINA,ACTIVO
WIR67A,125,2012,MOTOCICLETA,PARTICULAR,E3B6E217233,9FKKE1107C2217233,0,1798,GASOLINA,ACTIVO
EAC73A,125,1994,MOTOCICLETA,PARTICULAR,F103154475,SF11ASC38644,1,421251,GASOLINA,ACTIVO
FSD47,110,2002,MOTOCICLETA,PARTICULAR,4ST-462332,9FK5GE11K21462332,1,2171,GASOLINA,ACTIVO
DTL42D,124,2014,MOTOCICLETA,PARTICULAR,E3F4E095446,9FKKE1394F2095446,1,4241,GASOLINA,ACTIVO
BFB49A,110,2005,MOTOCICLETA,PARTICULAR,5AV422154,9FK2P611X51432154,1,1186,GASOLINA,ACTIVO
MLD458,1300,1990,AUTOMOVIL,PARTICULAR,M419585,405903,5,0,GASOLINA,ACTIVO
UYX632,3000,2008,CAMION,PUBLICO,501079,9GDNHR5558B009975,2,0,ACPM,ACTIVO
ZRG09A,125,2005,MOTOCICLETA,PARTICULAR,5GP021871,9FK5GP11851021871,1,1068,GASOLINA,ACTIVO
KCF08B,98,2008,MOTOCICLETA,PARTICULAR,1E50FMG-50250247,9FSBE11A38C266097,1,,GASOLINA,ACTIVO
LXH95E,179,2018,MOTOCICLETA,PARTICULAR,163FMKPQ482497,9F2A81801J5002693,1,966,GASOLINA,ACTIVO
LXG90E,124,2018,MOTOCICLETA,PARTICULAR,157FMIQE006687,9F2B11257J5002971,1,925,GASOLINA,ACTIVO
BLE440,1300,2000,CAMPERO,PARTICULAR,G13BB680504,9GDSN413VYB252818,5,0,GASOLINA,ACTIVO
SMI155,7200,2008,VOLQUETA,PUBLICO,7B0094555ZM70199143,1M2AL02C98M008052,2,88116,GASOLINA,ACTIVO
YCG57,98,2004,MOTOCICLETA,PARTICULAR,5VA207189,9FKKB004C31207189,1,853,GASOLINA,ACTIVO
SMI137,4100,2007,CAMION,PUBLICO,1811755,N/N,2,693,GASOLINA,ACTIVO
WIB85A,125,2008,MOTOCICLETA,PARTICULAR,KN25-2705693,LC2U6200082700951,1,1768,GASOLINA,ACTIVO
BOC137,4300,1992,CAMIONETA,PARTICULAR,*****,N/N,4,16749000,GASOLINA,ACTIVO
WIZ27A,149,2014,MOTOCICLETA,PARTICULAR,162FMJKQ337787,9F2B51507DAC20508,1,113,GASOLINA,ACTIVO
